name,arbor_id,stype,arbor_order,LD,ptype
18454_00164,1,VPM,0,0,TH_core
18463_00028,0,VPM,0,1,TH_core
18463_00028,1,VPM,1,1,TH_core
18463_00038,0,VPM,1,1,TH_core
18463_00038,1,VPM,0,1,TH_core
17545_00056,0,VPM,1,1,TH_core
17545_00056,1,VPM,0,0,TH_core
18458_00564,0,VPM,1,1,TH_core
18458_00564,1,VPM,0,0,TH_core
18455_00253,0,VPM,1,1,TH_core
18455_00253,1,VPM,0,0,TH_core
18454_01110,0,VPM,0,1,TH_core
18454_01110,1,VPM,1,1,TH_core
18457_00128,0,VPM,1,1,TH_core
18457_00128,1,VPM,0,1,TH_core
18454_01100,0,VPM,1,1,TH_core
18454_01100,1,VPM,0,0,TH_core
18454_00129,0,VPM,1,1,TH_core
18454_00129,1,VPM,0,0,TH_core
18454_00139,0,VPM,0,1,TH_core
18454_00139,1,VPM,1,1,TH_core
18465_00078,0,VPM,1,1,TH_core
18465_00078,1,VPM,0,0,TH_core
18462_00056,0,VPM,1,1,TH_core
18462_00056,1,VPM,0,1,TH_core
18464_00074,0,VPM,1,1,TH_core
18464_00074,1,VPM,0,1,TH_core
18455_00147,0,VPM,0,0,TH_core
18455_00147,1,VPM,1,1,TH_core
18454_01124,0,VPM,0,0,TH_core
18454_01124,1,VPM,1,1,TH_core
18465_00230,0,VPM,0,0,TH_core
18465_00230,1,VPM,1,1,TH_core
18457_00064,0,VPM,0,1,TH_core
18457_00064,1,VPM,1,1,TH_core
18458_00540,0,VPM,1,1,TH_core
18458_00540,1,VPM,0,1,TH_core
17545_00168,0,VPM,1,1,TH_core
17545_00168,1,VPM,0,0,TH_core
18454_01097,0,VPM,1,1,TH_core
18454_01097,1,VPM,0,1,TH_core
18464_00128,0,VPM,1,1,TH_core
18464_00128,1,VPM,0,0,TH_core
18462_00062,0,VPM,1,1,TH_core
18462_00062,1,VPM,0,1,TH_core
18455_00258,0,VPM,1,1,TH_core
18455_00258,1,VPM,0,0,TH_core
18454_01063,0,VPM,1,1,TH_core
18454_01063,1,VPM,0,0,TH_core
18454_01073,0,VPM,1,1,TH_core
18454_01073,1,VPM,0,1,TH_core
18454_01001,0,VPM,1,1,TH_core
18454_01001,1,VPM,0,0,TH_core
18457_00029,0,VPM,1,1,TH_core
18457_00029,1,VPM,0,1,TH_core
18454_01011,0,VPM,1,1,TH_core
18454_01011,1,VPM,0,1,TH_core
18454_00140,0,VPM,1,1,TH_core
18454_00140,1,VPM,0,1,TH_core
18457_00090,0,VPM,0,0,TH_core
18457_00090,1,VPM,1,1,TH_core
18463_00067,0,VPM,1,1,TH_core
18463_00067,1,VPM,0,1,TH_core
18458_00443,0,VPM,1,1,TH_core
18458_00443,1,VPM,0,0,TH_core
18464_00049,0,VPM,1,1,TH_core
18464_00049,1,VPM,0,0,TH_core
18454_01027,0,VPM,1,1,TH_core
18454_01027,1,VPM,0,0,TH_core
18454_01045,0,VPM,1,1,TH_core
18454_01045,1,VPM,0,1,TH_core
18462_00019,0,VPM,0,1,TH_core
18462_00019,1,VPM,1,1,TH_core
18454_01055,0,VPM,1,1,TH_core
18454_01055,1,VPM,0,0,TH_core
18465_00229,0,VPM,1,1,TH_core
18465_00229,1,VPM,0,1,TH_core
17302_00037,0,VPM,1,1,TH_core
17302_00037,1,VPM,0,0,TH_core
18464_00143,0,VPM,1,1,TH_core
18464_00143,1,VPM,0,0,TH_core
18458_00280,0,VPM,1,1,TH_core
18458_00280,1,VPM,0,0,TH_core
18457_00148,0,VPM,0,1,TH_core
18457_00148,1,VPM,1,1,TH_core
18454_01018,0,VPM,1,1,TH_core
18454_01018,1,VPM,0,0,TH_core
18462_00044,0,VPM,1,1,TH_core
18462_00044,1,VPM,0,1,TH_core
17302_00112,0,VPM,1,1,TH_core
17302_00112,1,VPM,0,0,TH_core
18454_00159,0,VPM,1,1,TH_core
18454_00159,1,VPM,0,1,TH_core
18455_00145,0,VPM,1,1,TH_core
18455_00145,1,VPM,0,0,TH_core
18464_00076,0,VPM,1,1,TH_core
18464_00076,1,VPM,0,1,TH_core
18463_00058,0,VPM,1,1,TH_core
18463_00058,1,VPM,0,0,TH_core
18457_00089,0,VPM,1,1,TH_core
18457_00089,1,VPM,0,0,TH_core
17545_00054,0,VPM,1,1,TH_core
17545_00054,1,VPM,0,0,TH_core
18455_00137,0,VPM,1,1,TH_core
18455_00137,1,VPM,0,0,TH_core
18457_00052,0,VPM,1,1,TH_core
18457_00052,1,VPM,0,0,TH_core
18454_01112,0,VPM,1,1,TH_core
18454_01112,1,VPM,0,0,TH_core
18455_5474_x14981_y13279,0,VPM,1,1,TH_core
18455_5474_x14981_y13279,1,VPM,0,1,TH_core
17302_00054,0,VPM,1,1,TH_core
17302_00054,1,VPM,0,1,TH_core
18455_5730_x15780_y13638,0,VPM,1,1,TH_core
18455_5730_x15780_y13638,1,VPM,0,1,TH_core
