name,bnum,tebratio,pd2s_max,pd2s_min,pd2s_mean,pd2s_std,ed2s_max,ed2s_min,ed2s_mean,ed2s_std,binterval_max,binterval_min,binterval_mean,binterval_std,bdist2pb_max,bdist2pb_min,bdist2pb_mean,bdist2pb_std,neighborb_max,neighborb_min,neighborb_mean,neighborb_std,soma_region
18869_3506_x6250_y6810,1308,0.0007645259938837921,8922.8,115.53,3105.7058256880737,1737.3132996378056,6289.67,46.53,1841.4618501529053,1057.1111954477765,115.74,0.13,14.786796636085628,12.313991758182457,290.5741,0.12712,24.736174885321102,28.05709308192225,95.0,0.0,25.845565749235472,21.36190869962248,SSp-m
pre_18864_00426,2937,0.0030643513789581204,10214.37,61.74,2667.9051719441604,2535.0832028686295,5368.96,37.5,1270.9190670752466,1276.0107448414233,1842.73,0.17,16.509472250595845,45.466456570977336,1842.73108,0.17491,27.344010102145045,55.67509722659269,187.0,0.0,31.334014300306436,37.06254072589167,MOs
18864_4267_x2794_y21031,2233,0.0,9968.39,132.42,2003.1953067622035,2161.5176188483942,7507.67,51.27,914.525629198388,1572.4866801917683,5285.22,0.34,17.957487684729063,112.27415554688483,5285.22412,0.34156,29.093901536050158,114.13320750309178,83.0,0.0,22.088669950738915,16.439179249707436,MOs
191812_3915_x8011_y24180,1253,0.0,13080.78,48.16,5076.388204309656,3861.42900034495,8776.11,45.46,3532.299273743017,2818.492356776895,952.24,0.43,32.71092577813248,49.703844463117896,952.23724,0.42843,52.01953118914605,69.01691551372313,26.0,0.0,6.930566640063847,5.041280019139806,SSp-m
18457_00120,1553,0.0025756600128783,8434.46,5.24,6710.543245331616,1960.5035614787603,3782.51,4.22,3086.2671088216357,861.5350778222078,129.51,0.31,11.348544752092725,10.082074877449445,283.8808,0.31425,17.844822169993563,18.081072649270283,449.0,1.0,138.46877012234384,134.81359012375574,VPL
18454_00154,1463,0.006151742993848257,7450.22,839.23,6407.545194805194,1503.9117987040343,3913.17,674.66,3469.674709501025,776.6545846406887,64.23,0.22,10.11548872180451,7.332706570810022,143.33881,0.21659,15.25274677375256,12.550318435342515,482.0,3.0,204.65071770334927,145.17097452507434,VPM
18869_4026_x21667_y6102,357,0.0,6530.26,86.26,2123.8229971988794,2550.7513196653294,3200.32,18.95,1022.2480112044817,1225.2940963676863,117.74,0.46,17.75011204481793,15.728630928541973,383.03867,0.46158,30.727686330532215,39.19304556641615,110.0,0.0,37.680672268907564,31.741742119883906,SSp-m
191812_5922_x4572_y8645,895,0.0011173184357541898,13340.52,3.8,4426.351139664805,2724.7616584261727,7729.13,3.8,1560.6260223463687,1818.226892294744,1014.62,0.36,32.270759776536316,52.407668300903545,1102.28516,0.36255,63.76139403351956,100.59043010510328,30.0,0.0,7.687150837988827,5.471749925053513,SSp-tr
18463_00011,543,0.001841620626151013,3148.42,13.95,764.2045488029468,550.1402634083395,2560.5,13.9,516.5206261510128,484.48958136237013,449.33,0.0,19.11906077348066,25.733332499207133,449.32684,0.47023,31.46106611418048,39.26821455270253,49.0,0.0,16.83977900552486,9.502093454858885,CP
18462_00055,809,0.0012360939431396785,4906.83,989.19,4291.524697156984,770.9549289956974,2707.64,678.61,2392.2193943139678,405.1166648642667,108.01,0.58,12.477119901112486,8.573713553399978,144.58105,0.5788,18.257007935723117,14.272216162608249,466.0,4.0,230.13349814585908,138.5561489563497,VPM
18454_00011,730,0.00410958904109589,2953.84,69.78,1055.5085616438357,718.7381001020173,2475.11,42.38,591.017506849315,558.8660430996434,211.76,0.38,13.398945205479452,13.218809637829102,218.84395,0.37942,23.185439657534246,24.860901137533695,59.0,3.0,22.97808219178082,13.89415452356307,CP
18455_00110,495,0.014141414141414142,9653.43,18.95,4583.300707070707,3463.922545358575,4812.15,16.17,2040.6498787878788,1662.0074114918475,469.59,0.33,13.362040404040403,24.886564438528275,469.58896,0.32604,20.434135676767678,28.704914428158414,70.0,0.0,31.292929292929294,16.614863672121075,CP
17781_5166_x11993_y10858,1686,0.0035587188612099642,6153.85,23.99,3571.8567259786473,1252.7178250653242,3842.25,16.94,1958.9052135231316,648.167006286483,162.04,0.24,12.773962040332147,12.747083868147447,1054.70752,0.23608,21.603606067615654,34.23090463240067,87.0,0.0,26.776986951364176,20.428759431865952,SSs
17302_00036,1836,0.0027233115468409588,7228.31,128.19,6170.225185185185,1092.0640326829252,2987.09,64.83,2609.000419389978,378.23959231143704,94.47,0.28,9.399624183006537,8.310661142925188,232.03015,0.27938,15.298829498910674,15.441556038086922,527.0,0.0,200.32461873638343,144.7381447046773,MG
17109_4101_x6753_y6197,1228,0.0,12139.98,3.46,5797.758013029315,4458.27200671358,8193.06,3.46,4292.489128664494,3428.935383400901,650.06,0.0,34.866091205211724,54.499656350559526,842.9837,0.17837,68.71806853420195,104.47829845970602,37.0,0.0,7.662866449511401,6.490945779071344,SSs
pre_18864_00021,2054,0.008763388510223954,4846.37,10.04,1552.5563096397275,1018.4168439725494,2090.02,10.04,693.7296299902629,449.1177044057343,576.08,0.21,15.703062317429406,25.74107337257228,1028.79675,0.20945,23.487236148977605,37.776890150252086,94.0,0.0,25.052580331061343,20.518371430474485,VISpm
236174_3329_x13938_y26099,1982,0.0,11031.18,4.54,5418.158612512614,2845.587737493165,6770.91,4.54,3384.1192583249244,2240.079509374216,561.4,0.0,26.22513118062563,36.43593884938869,1415.84009,0.45678,52.73425344096872,85.26401402062956,30.0,0.0,8.332996972754794,5.618002271219321,GU
18457_00032,353,0.04815864022662889,3520.44,55.34,2101.409716713881,1308.6676918853689,2334.28,24.62,1445.1407365439093,951.7158834048238,129.96,0.0,10.88257790368272,14.71440614381289,180.37057,0.32604,16.159806855524078,19.40284437910005,95.0,7.0,37.20679886685552,24.950969174262525,CP
18465_00009,288,0.013888888888888888,3055.52,127.5,1207.4920833333335,982.7099322513587,2059.14,18.26,726.4773263888887,658.8674767825594,316.38,0.4,14.40847222222222,22.57572706935542,316.3804,0.40465,20.489705138888887,24.577029825449767,57.0,1.0,27.979166666666668,14.308190071979352,CP
18867_6085_x20833_y6331,3024,0.005291005291005291,15615.56,120.33,6472.039623015873,4825.120228656984,4736.49,47.93,2288.4437533068785,1439.6387914447098,139.37,0.14,10.72117724867725,10.883519289733517,713.11371,0.14156,19.143785049603174,26.986471624345917,97.0,0.0,26.85648148148148,20.17160675655034,RSPv
18453_7692_x10145_y15241,1775,0.0022535211267605635,9173.16,83.2,2873.2586478873236,2647.787114949978,1552.53,16.41,599.6479380281689,360.61940514793724,431.44,0.3,17.435278873239437,25.397748378182797,494.45978,0.30128,31.87228532957747,44.99835038718834,121.0,0.0,36.1487323943662,28.181313567904592,ENTm
