name,P1,P2,P3,P4,soma_region,brain_region
182724_2670_x5615_y13225,0.45209682918513466,0.13296965564268667,0.2635526764405046,0.15138083873167404,MOs,CTX
18463_00028,0.02231237322515213,0.0,0.41886409736308317,0.5588235294117647,VPM,TH
182724_3848_x8903_y23965,0.35914416709118696,0.12837493632195618,0.1762608252674478,0.33622007131940906,SSp-m,CTX
18465_00319,0.3412969283276451,0.24232081911262798,0.25597269624573377,0.16040955631399317,CP,CNU
17109_2401_x8977_y24184,0.12727272727272726,0.0,0.37727272727272726,0.4954545454545455,MOp,CTX
18454_00028,0.1348973607038123,0.17302052785923755,0.2844574780058651,0.40762463343108507,CP,CNU
18465_00175,0.07625189681335356,0.0,0.1631259484066768,0.7606221547799696,VPM,TH
18464_00074,0.0,0.09868421052631579,0.37582236842105265,0.5254934210526315,VPM,TH
18455_00200,0.08909853249475891,0.0,0.023060796645702306,0.8878406708595388,VPM,TH
pre_18864_00018,0.6005509641873278,0.19903581267217632,0.1921487603305785,0.008264462809917356,SSp-ll,CTX
18864_00025,0.879837067209776,0.10386965376782077,0.0,0.016293279022403257,SSp-ul,CTX
18454_01005,0.04237918215613383,0.0,0.0,0.9576208178438662,VPM,TH
18465_00030,0.27358490566037735,0.0,0.07547169811320754,0.6509433962264151,CP,CNU
18454_00090,0.7476076555023924,0.06220095693779904,0.18660287081339713,0.0035885167464114833,CLA,CTX
17545_00040,0.30218281036834926,0.4740791268758527,0.09754433833560709,0.126193724420191,CP,CNU
pre_18465_00373,0.6545454545454545,0.05454545454545454,0.21818181818181817,0.07272727272727272,DG,CTX
18867_4593_x26568_y15120,0.2409435551811289,0.34203875315922494,0.18534119629317608,0.2316764953664701,CP,CNU
182724_2926_x5279_y13761,0.4074349442379182,0.23494423791821561,0.266542750929368,0.09107806691449814,MOs,CTX
18455_00257,0.004219409282700422,0.02869198312236287,0.480168776371308,0.4869198312236287,VPM,TH
18454_01117,0.04961832061068702,0.0,0.024173027989821884,0.926208651399491,VPM,TH
18457_00119,0.07403751233958539,0.011846001974333662,0.019743336623889437,0.8943731490621916,VPM,TH
182724_2494_x6419_y20983,0.22997620935765264,0.17446471054718476,0.28152260111023,0.3140364789849326,MOs,CTX
18454_01052,0.0718232044198895,0.0,0.569060773480663,0.35911602209944754,VPM,TH
18869_4953_x22613_y6076,0.3103448275862069,0.1545778834720571,0.4684898929845422,0.06658739595719382,SSp-n,CTX
