,prefix,region,max_density_basal,num_nodes_basal,total_path_length_basal,volume_basal,num_branches_basal,dist_to_soma_basal,dist_to_soma2_basal,num_hubs_basal,variance_ratio_basal
468,18455_00220,CP,38,38,108.65,1904.026,17,0.6455,0.0,0,0.5040784883778546
469,18455_00224,CP,36,36,80.2461,202.7227,17,0.9071,0.0,0,0.5817731285715554
470,18455_00240,CP,57,57,106.9877,537.7721,27,0.5594,0.0,1,0.4382060872718012
471,18455_3718_x10944_y12140,CP,74,74,158.2898,1032.9532,34,0.7315,0.0,1,0.43478799904992366
472,18455_4619_x10185_y12182,CP,39,39,86.6848,1068.4345,17,0.5292,0.0,0,0.38967001910989635
473,18457_00001,CP,60,60,125.5697,1058.3954,27,1.311,0.0,1,0.3737416736317372
474,18457_00002,CP,40,40,78.2661,650.7345,17,0.717,0.0,0,0.4154171209372149
475,18457_00003,CP,51,51,100.7284,485.3428,23,0.5345,0.0,1,0.3939615571754031
476,18457_00004,CP,44,44,98.6366,549.934,19,1.5556,0.0,0,0.4578481536190523
477,18457_00005,CP,82,82,130.5771,690.9358,39,0.662,0.0,1,0.40475975458036195
478,18457_00006,CP,67,67,121.4587,692.002,32,0.5496,0.0,1,0.3955241304601531
479,18457_00007,CP,60,60,134.6349,1003.5659,27,1.1517,0.0,1,0.4245111539597498
480,18457_00008,CP,56,56,150.0326,1170.114,25,0.5472,0.0,1,0.45736758067885586
481,18457_00014,CP,56,56,108.4023,765.0029,23,1.1031,0.0,1,0.4539393569777062
482,18457_00015,CP,49,49,102.9711,608.4872,23,1.0075,0.0,0,0.4463463858671518
483,18457_00030,CP,58,58,92.0694,341.0485,26,0.679,0.0,1,0.4414014032908687
484,18457_00031,CP,49,49,77.3977,143.8614,21,0.7276,0.0,0,0.503160152794296
485,18457_00032,CP,53,53,114.6368,835.0446,24,0.6563,0.0,1,0.39428458565110064
486,18457_00033,CP,62,62,98.3214,432.8353,29,0.6308,0.0,1,0.4499160481362337
487,18457_00034,CP,52,52,118.2661,741.115,24,1.3556,0.0,1,0.41918689105660784
488,18457_00035,CP,65,65,114.1406,794.1775,30,0.7064,0.0,1,0.4696299870140313
489,18457_00036,CP,57,57,118.8778,978.0851,27,1.8462,0.0,1,0.4092750698291616
490,18457_00037,CP,51,51,98.8338,588.4769,24,1.2344,0.0,1,0.494068713648081
491,18457_00038,CP,49,49,73.1881,92.921,21,0.2711,0.0,0,0.5830626384508805
492,18457_00039,CP,69,69,122.2627,557.0431,32,0.9119,0.0,1,0.42646342701459816
493,18457_00040,CP,51,51,60.247,164.0097,23,1.0726,0.0,1,0.6037125725282917
494,18457_00041,CP,56,56,81.1005,222.8969,26,1.3412,0.0,1,0.4406258861000164
495,18457_00043,CP,58,58,100.5288,535.2669,27,1.1419,0.0,1,0.4045109375074054
496,18457_00044,CP,50,50,83.6379,388.65,23,1.2957,0.0,0,0.5044986421161801
497,18457_00076,CP,73,73,117.3886,723.8682,35,1.155,0.0,1,0.4468028807039495
498,18457_00077,CP,53,53,90.5044,434.6541,24,0.9704,0.0,1,0.44820648815063935
499,18457_00078,CP,92,92,147.0389,384.8912,43,0.8358,0.0,1,0.4549918634800321
500,18457_00079,CP,77,77,146.761,594.7804,36,0.569,0.0,1,0.3976490761340668
501,18457_00080,CP,69,69,136.9297,811.6907,31,0.8612,0.0,1,0.40407098683775783
502,18457_00082,CP,61,61,153.1573,1393.3906,29,0.4229,0.0,1,0.4365529570513097
503,18457_00087,CP,66,66,131.5346,510.2101,32,0.7582,0.0,1,0.4667589793732832
504,18457_00103,CP,62,62,144.7679,903.0461,28,1.2754,0.0,1,0.4377748747887712
505,18457_00106,CP,51,51,65.3519,227.1525,23,1.1603,0.0,1,0.4732535301576958
506,18457_00108,CP,59,59,90.5722,769.7425,28,0.9492,0.0,1,0.5377129494360803
507,18457_00113,CP,72,72,139.7607,887.2838,34,0.7601,0.0,1,0.42421403491360216
508,18457_00114,CP,42,42,84.8441,562.2404,19,1.0152,0.0,0,0.5370720927934883
509,18457_00139,CP,55,55,59.2508,144.5418,26,1.5365,0.0,1,0.4072948071586651
510,18457_00140,CP,103,103,127.3262,305.7374,48,0.5753,0.0,1,0.4226443117891417
511,18457_00141,CP,57,57,145.128,1767.3685,27,0.938,0.0,1,0.37743874619335493
512,18457_00142,CP,73,73,123.3634,727.2113,36,0.6042,0.0,1,0.36391287953053164
513,18458_00351,CP,110,110,139.8789,697.4678,52,1.2508,0.0,1,0.4403510409421248
514,18458_00353,CP,55,55,130.4669,1279.5105,26,0.3851,0.0,1,0.4051471202206623
515,18458_00386,CP,100,100,128.09,592.1201,46,0.5429,0.0,1,0.43525437871877004
516,18458_00488,CP,79,79,168.3031,1108.4596,35,0.959,0.0,1,0.45672801670858887
517,18462_00005,CP,28,28,71.9042,904.1624,12,0.6295,0.0,0,0.41891273302555365
